Epoch, Log-likelihood, Accuracy, RMSE
1, -0.74252,  0.42489,  120.62213
2, -0.73842,  0.42894,  114.54435
3, -0.74038,  0.42839,  117.82501
4, -0.72722,  0.42855,  111.33051
5, -0.71631,  0.42883,  112.04360
6, -0.71288,  0.42895,  110.51996
7, -0.70436,  0.42899,  109.69654
8, -0.70420,  0.42894,  110.73926
9, -0.69533,  0.42895,  109.93249
10, -0.69145,  0.42894,  109.62837
11, -0.69168,  0.42803,  111.20144
12, -0.68933,  0.42898,  108.35299
13, -0.68593,  0.42895,  108.47096
14, -0.68692,  0.42889,  109.57360
15, -0.68455,  0.42894,  108.56895
16, -0.67967,  0.42878,  108.07373
17, -0.68046,  0.42892,  110.13972
18, -0.67597,  0.42857,  107.49312
19, -0.67869,  0.42894,  109.40299
20, -0.67036,  0.42853,  108.48769
21, -0.66925,  0.42887,  110.85565
22, -0.67279,  0.42894,  107.56178
23, -0.66831,  0.42895,  107.48838
24, -0.67227,  0.42894,  108.08548
25, -0.66946,  0.42892,  107.94127
26, -0.66504,  0.42894,  107.97989
27, -0.67026,  0.42895,  108.60384
28, -0.66240,  0.42849,  109.00117
29, -0.66401,  0.42894,  107.61816
30, -0.65721,  0.42861,  107.34551
31, -0.65974,  0.42893,  107.40404
32, -0.66050,  0.42871,  107.59790
33, -0.65948,  0.42893,  108.33628
34, -0.66075,  0.42894,  107.90232
35, -0.65990,  0.42883,  107.57866
36, -0.65873,  0.42869,  107.71062
37, -0.66182,  0.42856,  108.71466
38, -0.65965,  0.42892,  107.79244
39, -0.66058,  0.42871,  107.81535
40, -0.65826,  0.42893,  108.17658
41, -0.65657,  0.42877,  108.06746
42, -0.65857,  0.42893,  108.07972
43, -0.65734,  0.42893,  107.47527
44, -0.65938,  0.42889,  108.04083
45, -0.65708,  0.42888,  108.62701
46, -0.65481,  0.42881,  108.08623
47, -0.65701,  0.42888,  108.25556
48, -0.65441,  0.42884,  107.98199
49, -0.65743,  0.42893,  108.20721
50, -0.65650,  0.42884,  107.73022
51, -0.65673,  0.42879,  108.05475
52, -0.65439,  0.42881,  107.78913
53, -0.65552,  0.42880,  108.20051
54, -0.65387,  0.42877,  108.18733
55, -0.65426,  0.42879,  108.07310
56, -0.65416,  0.42882,  108.13179
57, -0.65673,  0.42884,  108.94740
58, -0.65557,  0.42886,  108.55265
59, -0.65647,  0.42883,  108.42590
60, -0.65479,  0.42883,  108.53029
61, -0.65344,  0.42885,  108.34027
62, -0.65443,  0.42885,  108.73318
63, -0.65319,  0.42881,  108.40551
64, -0.65406,  0.42882,  108.41525
65, -0.65399,  0.42884,  108.42094
66, -0.65313,  0.42883,  108.29065
67, -0.65342,  0.42884,  108.40954
68, -0.65456,  0.42879,  108.43309
69, -0.65410,  0.42877,  108.48082
70, -0.65415,  0.42882,  108.13093
71, -0.65388,  0.42883,  108.24585
72, -0.65388,  0.42884,  108.24374
73, -0.65312,  0.42882,  108.15232
74, -0.65387,  0.42884,  108.38861
75, -0.65325,  0.42881,  108.14397
76, -0.65359,  0.42885,  108.32020
77, -0.65400,  0.42884,  108.43024
78, -0.65392,  0.42886,  108.24489
79, -0.65303,  0.42883,  108.04769
80, -0.65359,  0.42884,  108.23100
81, -0.65325,  0.42883,  108.23098
82, -0.65332,  0.42884,  108.14868
83, -0.65379,  0.42884,  108.32794
84, -0.65303,  0.42884,  108.24709
85, -0.65285,  0.42885,  108.22755
86, -0.65315,  0.42883,  108.20246
87, -0.65339,  0.42881,  108.22775
88, -0.65367,  0.42886,  108.39627
89, -0.65324,  0.42883,  108.26501
90, -0.65280,  0.42885,  108.20546
91, -0.65274,  0.42885,  108.19532
92, -0.65284,  0.42885,  108.22716
93, -0.65290,  0.42885,  108.21154
94, -0.65302,  0.42884,  108.21833
95, -0.65305,  0.42883,  108.20823
96, -0.65314,  0.42881,  108.24055
97, -0.65301,  0.42882,  108.21427
98, -0.65328,  0.42883,  108.25399
99, -0.65329,  0.42882,  108.29495
100, -0.65306,  0.42883,  108.26609
